,receptor,missing_frame
947,adrb2,at-frame191800
948,adrb2,at-frame193200
949,adrb2,at-frame194800
950,adrb2,at-frame195200
951,adrb2,at-frame195600
952,adrb2,at-frame195800
953,adrb2,at-frame197400
954,adrb2,at-frame198000
955,adrb2,at-frame202200
956,adrb2,at-frame202600
957,adrb2,at-frame202800
958,adrb2,at-frame203800
959,adrb2,at-frame204000
960,adrb2,at-frame205000
961,adrb2,at-frame206000
962,adrb2,at-frame206600
963,adrb2,at-frame207200
964,adrb2,at-frame207400
965,adrb2,at-frame207800
966,adrb2,at-frame210000
967,adrb2,at-frame210600
968,adrb2,at-frame211200
969,adrb2,at-frame212200
970,adrb2,at-frame212800
971,adrb2,at-frame214400
972,adrb2,at-frame214800
973,adrb2,at-frame215600
974,adrb2,at-frame216400
975,adrb2,at-frame216800
976,adrb2,at-frame217800
977,adrb2,at-frame218000
978,adrb2,at-frame219000
979,adrb2,at-frame219400
980,adrb2,at-frame220600
981,adrb2,at-frame220800
982,adrb2,at-frame221200
983,adrb2,at-frame223200
984,adrb2,at-frame223400
985,adrb2,at-frame223800
986,adrb2,at-frame224000
987,adrb2,at-frame225400
988,adrb2,at-frame225600
989,adrb2,at-frame226000
990,adrb2,at-frame226400
991,adrb2,at-frame226600
992,adrb2,at-frame227000
993,adrb2,at-frame227200
994,adrb2,at-frame227600
995,adrb2,at-frame227800
