,f_name,k,inds,frame_number
112,C-alpha,35,[ 622 1976 2276 ... 2180 1441  312],"[124200, 395000, 455000, 191000, 81600, 31600, 354600, 3400, 241600, 559200, 298200, 175000, 52600, 326600, 575600, 488200, 40600, 420200, 227200, 589400, 88400, 446000, 102200, 16000, 312400, 143600, 473400, 531400, 212200, 9400, 157800, 512600, 435800, 288000, 62200]"
113,C-alpha,36,[2368 2442 1347 ... 2658 2328  697],"[473400, 488200, 269200, 102200, 40600, 16000, 191000, 388400, 81600, 354600, 227200, 3400, 312400, 124200, 589400, 444400, 62200, 559200, 295600, 88400, 52600, 326600, 241600, 31600, 396600, 452800, 175000, 212200, 428800, 287400, 9400, 575600, 154200, 531400, 465400, 139200]"
114,C-alpha,37,[2368 1984  790 ... 2223 1347  443],"[473400, 396600, 157800, 81600, 31600, 227200, 3400, 124200, 545800, 287400, 369000, 305600, 575600, 428800, 513200, 212200, 52600, 355000, 16000, 241600, 40600, 452200, 102200, 589400, 179000, 521600, 9400, 143600, 337200, 559200, 62200, 385400, 324000, 461600, 444400, 269200, 88400]"
115,C-alpha,38,[2145 2879 2442 ... 2037 1928 1846],"[428800, 575600, 488200, 154200, 212200, 102200, 16000, 355000, 40600, 287400, 3400, 175000, 305600, 455000, 512600, 81600, 396400, 227200, 191000, 241600, 139200, 52600, 31600, 446000, 269200, 323800, 124200, 589400, 473400, 88400, 69000, 559200, 63200, 531400, 9400, 407200, 385400, 369000]"
116,C-alpha,39,[2648  876 1563 ...  312   81 2730],"[529400, 175000, 312400, 124200, 31600, 3400, 288000, 428800, 81600, 224000, 139200, 350400, 473400, 40600, 52600, 446000, 88400, 191000, 589400, 369000, 407200, 513200, 234200, 295600, 455000, 396400, 154200, 212200, 385400, 559200, 355200, 323400, 575600, 9400, 241600, 102200, 62200, 16000, 545800]"
117,torsion angles,1,[2419],[483600]
118,torsion angles,2,[ 154 2408],"[30600, 481400]"
119,torsion angles,3,[2685  154 2341],"[536800, 30600, 468000]"
120,torsion angles,4,[ 927  164 2341 2685],"[185200, 32600, 468000, 536800]"
121,torsion angles,5,[ 354  154 2685 2341  917],"[70600, 30600, 536800, 468000, 183200]"
122,torsion angles,6,[2341 2530  917  613  354   73],"[468000, 505800, 183200, 122400, 70600, 14400]"
123,torsion angles,7,[2341 1429 2645  308  917  613   73],"[468000, 285600, 528800, 61400, 183200, 122400, 14400]"
124,torsion angles,8,[2645  917 1429  613  174  354   73 2341],"[528800, 183200, 285600, 122400, 34600, 70600, 14400, 468000]"
125,torsion angles,9,[2550 2341  174  613  354 1906  917   73 1434],"[509800, 468000, 34600, 122400, 70600, 381000, 183200, 14400, 286600]"
126,torsion angles,10,[ 613 2941 1434  917  354   73 1906 2572  174 1497],"[122400, 588000, 286600, 183200, 70600, 14400, 381000, 514200, 34600, 299200]"
127,torsion angles,11,[2175 1497 1434 ...  354   73 2941],"[434800, 299200, 286600, 509800, 122400, 34600, 183200, 383600, 70600, 14400, 588000]"
