,f_name,k,inds,frame_number
104,C-alpha,27,[ 918 2047  362 ... 1617  736  183],"[183400, 409200, 72200, 567600, 370200, 246400, 560000, 300400, 199600, 109400, 444600, 226000, 4800, 125600, 478200, 354800, 598600, 421800, 388000, 541600, 517600, 27000, 415400, 499400, 323200, 147000, 36400]"
105,C-alpha,28,[ 918 2589 1233 ... 1131  136 2994],"[183400, 517600, 246400, 126200, 4800, 300200, 469400, 421800, 199600, 370200, 311600, 567600, 147000, 109400, 489200, 441800, 450200, 354800, 7600, 541600, 418000, 330200, 560000, 73200, 60400, 226000, 27000, 598600]"
106,C-alpha,29,[ 398 2801 1852 ... 1250 1775 1503],"[79400, 560000, 370200, 412600, 323200, 183400, 598600, 478200, 272200, 36400, 444600, 517600, 226000, 145000, 27000, 6200, 199600, 541600, 567600, 109400, 499400, 600, 386400, 125600, 50200, 421800, 249800, 354800, 300400]"
107,C-alpha,30,[1362  548 1617 ... 2686 2064 2801],"[272200, 109400, 323200, 386400, 183600, 199600, 7600, 478200, 499400, 300400, 598600, 354800, 541200, 517600, 421800, 4800, 126200, 444600, 27000, 147000, 567600, 249800, 53000, 226000, 163800, 370200, 73200, 537000, 412600, 560000]"
108,C-alpha,31,[2498 1156  354 ... 2801 2001 2118],"[499400, 231000, 70600, 478200, 370200, 287600, 183600, 300400, 126200, 386400, 323200, 421800, 200800, 27000, 598600, 243200, 147000, 567600, 354800, 443600, 517600, 271800, 541600, 4800, 217600, 79400, 109400, 159200, 560000, 400000, 423400]"
109,C-alpha,32,[1852 2589  136 ... 1933 2478 2498],"[370200, 517600, 27000, 126200, 323200, 249800, 449600, 226000, 567600, 199600, 412600, 598600, 560000, 155600, 300400, 70600, 600, 145000, 7600, 471200, 421800, 183400, 541600, 532200, 354800, 441800, 109400, 73200, 272200, 386400, 495400, 499400]"
110,C-alpha,33,[ 919 1775  367 ... 2110  813 1250],"[183600, 354800, 73200, 388000, 370200, 517600, 289800, 560000, 567600, 231000, 60400, 443600, 323200, 598600, 469400, 489200, 109400, 7600, 412600, 300400, 541600, 4800, 200800, 272200, 450200, 175400, 27000, 217600, 126200, 147000, 421800, 162400, 249800]"
111,C-alpha,34,[1941  548 2498 ...  876  726 2252],"[388000, 109400, 499400, 57000, 202600, 323200, 289800, 445000, 567600, 217600, 370200, 155600, 560000, 7600, 598600, 469400, 73200, 300400, 354800, 249800, 418000, 183600, 226000, 541600, 438000, 126200, 423400, 4800, 272200, 517600, 27000, 175000, 145000, 450200]"
112,C-alpha,35,[1156 2498 1775 ... 2801 1439 1089],"[231000, 499400, 354800, 73200, 163800, 272200, 311600, 70600, 450200, 27000, 592000, 145000, 567600, 438000, 400000, 200800, 541600, 600, 423400, 370200, 109400, 300200, 183600, 469400, 330200, 589600, 386400, 125600, 249800, 443600, 7600, 517600, 560000, 287600, 217600]"
113,C-alpha,36,[ 529 1362 2801 ...  136 1664  919],"[105600, 272200, 560000, 316400, 73200, 499400, 159200, 7600, 450200, 357200, 469400, 125600, 219200, 199600, 598600, 441800, 386400, 541600, 421800, 300200, 370200, 70600, 233800, 175400, 249800, 308200, 118600, 145000, 412600, 517600, 1800, 347200, 567600, 27000, 332600, 183600]"
