traj_ind,file_name,file_index
645,at-frame134200_noH.pdb,134200
646,at-frame134400_noH.pdb,134400
647,at-frame134600_noH.pdb,134600
648,at-frame134800_noH.pdb,134800
649,at-frame135000_noH.pdb,135000
650,at-frame135200_noH.pdb,135200
651,at-frame135400_noH.pdb,135400
652,at-frame135600_noH.pdb,135600
653,at-frame136000_noH.pdb,136000
654,at-frame136200_noH.pdb,136200
655,at-frame136400_noH.pdb,136400
656,at-frame136600_noH.pdb,136600
657,at-frame136800_noH.pdb,136800
658,at-frame137000_noH.pdb,137000
659,at-frame137200_noH.pdb,137200
660,at-frame137400_noH.pdb,137400
661,at-frame137600_noH.pdb,137600
662,at-frame137800_noH.pdb,137800
663,at-frame138000_noH.pdb,138000
664,at-frame138200_noH.pdb,138200
665,at-frame138400_noH.pdb,138400
666,at-frame138600_noH.pdb,138600
667,at-frame138800_noH.pdb,138800
668,at-frame139000_noH.pdb,139000
669,at-frame139200_noH.pdb,139200
670,at-frame139400_noH.pdb,139400
671,at-frame139600_noH.pdb,139600
672,at-frame139800_noH.pdb,139800
673,at-frame140000_noH.pdb,140000
674,at-frame140200_noH.pdb,140200
675,at-frame140400_noH.pdb,140400
676,at-frame140600_noH.pdb,140600
677,at-frame140800_noH.pdb,140800
678,at-frame141000_noH.pdb,141000
679,at-frame141200_noH.pdb,141200
680,at-frame141400_noH.pdb,141400
681,at-frame141600_noH.pdb,141600
682,at-frame141800_noH.pdb,141800
683,at-frame142000_noH.pdb,142000
684,at-frame142200_noH.pdb,142200
685,at-frame142400_noH.pdb,142400
686,at-frame142600_noH.pdb,142600
687,at-frame142800_noH.pdb,142800
688,at-frame143000_noH.pdb,143000
689,at-frame143200_noH.pdb,143200
690,at-frame143400_noH.pdb,143400
691,at-frame143600_noH.pdb,143600
692,at-frame143800_noH.pdb,143800
693,at-frame144000_noH.pdb,144000
694,at-frame144200_noH.pdb,144200
695,at-frame144400_noH.pdb,144400
696,at-frame144600_noH.pdb,144600
697,at-frame144800_noH.pdb,144800
698,at-frame145000_noH.pdb,145000
699,at-frame145200_noH.pdb,145200
700,at-frame145400_noH.pdb,145400
701,at-frame145600_noH.pdb,145600
702,at-frame145800_noH.pdb,145800
703,at-frame146000_noH.pdb,146000
704,at-frame146200_noH.pdb,146200
705,at-frame146400_noH.pdb,146400
706,at-frame146600_noH.pdb,146600
707,at-frame146800_noH.pdb,146800
708,at-frame147000_noH.pdb,147000
709,at-frame147200_noH.pdb,147200
710,at-frame147400_noH.pdb,147400
711,at-frame147600_noH.pdb,147600
712,at-frame147800_noH.pdb,147800
713,at-frame148000_noH.pdb,148000
714,at-frame148200_noH.pdb,148200
715,at-frame148400_noH.pdb,148400
716,at-frame148600_noH.pdb,148600
717,at-frame148800_noH.pdb,148800
718,at-frame149000_noH.pdb,149000
719,at-frame149200_noH.pdb,149200
720,at-frame149400_noH.pdb,149400
721,at-frame149600_noH.pdb,149600
722,at-frame149800_noH.pdb,149800
723,at-frame150200_noH.pdb,150200
724,at-frame150400_noH.pdb,150400
725,at-frame150600_noH.pdb,150600
726,at-frame150800_noH.pdb,150800
727,at-frame151000_noH.pdb,151000
728,at-frame151200_noH.pdb,151200
729,at-frame151400_noH.pdb,151400
730,at-frame151600_noH.pdb,151600
731,at-frame151800_noH.pdb,151800
732,at-frame152000_noH.pdb,152000
